texto_pregunta,tema_id,opciones,indices_correctos,explicacion
"¿Qué característica fundamental distingue a los sistemas operativos de tiempo compartido de los sistemas con multiprogramación básica?",1,"[""Los sistemas de tiempo compartido implementan un cambio rápido entre tareas para dar sensación de interactividad a múltiples usuarios"", ""Los sistemas de tiempo compartido solo permiten un número limitado de programas en memoria, mientras que la multiprogramación no tiene esta limitación""]",0,"Como se describe en la sección 1.3.3, el tiempo compartido o multitarea es una variante de la multiprogramación que consiste en realizar un cambio rápido entre tareas, lo que permite que cada usuario pueda interactuar con el programa que está ejecutando y tener la sensación de que él es el único usuario de la máquina. Este enfoque en la interactividad y la rápida respuesta a múltiples usuarios es lo que distingue el tiempo compartido de la multiprogramación básica, que simplemente busca mantener la CPU ocupada alternando entre programas cuando estos tienen que esperar por operaciones de E/S."
"¿En qué consiste principalmente la memoria extendida o virtual desde la perspectiva de sistema operativo como "máquina virtual"?",1,"[""En permitir la asignación de más memoria a los programas de la que físicamente existe en el sistema"", ""En mostrar a los programas que la cantidad de memoria disponible es menor de la que realmente existe para reservar parte de ella al sistema operativo""]",0,"Según la sección 1.1, el sistema operativo como máquina virtual o extendida es un programa que oculta el funcionamiento del hardware y presenta una interfaz sencilla y amigable. Entre otras cosas, el sistema añade nuevos componentes y funcionalidades que el hardware por sí mismo no proporciona. La memoria virtual es una abstracción que permite a los programas utilizar más memoria de la que físicamente existe en el sistema, mediante técnicas como la paginación o segmentación, creando la ilusión de un espacio de memoria más grande."
"¿Cuál es la diferencia conceptual más relevante entre un proceso y un programa?",1,"[""Un proceso es una entidad activa con un contador de programa que indica la siguiente instrucción a ejecutar, mientras que un programa es una entidad pasiva con código y datos almacenados en disco"", ""Un proceso solo puede ejecutar código de sistema, mientras que un programa solo puede ejecutar código de usuario""]",0,"Como se define en la sección 1.5.1, un proceso es un programa en ejecución, es decir, una entidad activa que tiene, entre otras cosas, un contador de programa que indica cuál es la siguiente instrucción a ejecutar. Un programa, en cambio, es una entidad pasiva, pues es el contenido estático (código y datos) de un fichero almacenado en disco. Esta distinción fundamental entre la naturaleza activa de un proceso frente a la pasiva de un programa es clave para entender la administración de procesos en los sistemas operativos."
"En los sistemas operativos actuales, ¿cómo se resuelve el problema de que los programas de usuario necesiten realizar operaciones de E/S que requieren instrucciones privilegiadas?",1,"[""Los programas de usuario reciben temporalmente privilegios de modo núcleo para ejecutar esas instrucciones"", ""Los programas de usuario realizan llamadas al sistema que se ejecutan en modo núcleo""]",1,"Como se explica en la sección 1.2, cuando un programa de usuario necesita realizar operaciones de E/S (que requieren instrucciones privilegiadas), debe pedirle al sistema operativo que haga esa operación por él mediante una llamada al sistema. Esta instrucción produce una acción similar a la de una interrupción que es tratada por el sistema operativo en modo núcleo. Así, el programa nunca ejecuta directamente las instrucciones privilegiadas, sino que solicita al sistema operativo que las ejecute en su nombre."
"¿Cómo solucionan los sistemas operativos modernos el problema de que un programa pueda entrar en un bucle infinito y monopolizar la CPU?",1,"[""Mediante interrupciones periódicas generadas por hardware que devuelven el control al sistema operativo"", ""Mediante la comprobación en tiempo de compilación de bucles que no tengan condición de salida""]",0,"Como se menciona en la sección 1.2, para que un programa no se haga con el control de la CPU, es necesario que el hardware disponga de algún reloj o dispositivo similar que produzca interrupciones periódicas. Estas interrupciones permiten al sistema operativo hacerse con el control de la máquina cada cierto tiempo. Al tomar el control, el sistema operativo puede asignar la CPU a otro programa y así evitar que el sistema se bloquee debido a un programa que ha entrado en un bucle infinito."
"En el contexto de la evolución histórica de los sistemas operativos, ¿qué problema fundamental resolvió la multiprogramación?",1,"[""El alto costo de los primeros ordenadores al permitir que múltiples usuarios compartieran el mismo hardware"", ""La infrautilización de la CPU debido a tiempos de espera por operaciones de E/S, permitiendo que otro programa use la CPU mientras uno espera""]",1,"Según la sección 1.3.3, la multiprogramación consiste en tener varios programas en memoria. Cuando un programa que usa la CPU tiene que esperar (por ejemplo, a que termine una operación de E/S), se pasa a otro programa que esté listo para ejecutarse. De esta manera, se consigue la superposición de la E/S de unos programas con el uso de la CPU de otros, solucionando así el problema de la infrautilización de la CPU durante las operaciones de E/S, que era una limitación importante en los sistemas de generaciones anteriores."
"¿Por qué los sistemas operativos distribuidos ofrecen mejor tolerancia a fallos que los sistemas centralizados?",1,"[""Porque utilizan algoritmos de detección y corrección de errores más sofisticados"", ""Porque si una máquina falla, el resto puede seguir realizando el trabajo""]",1,"Como se menciona en la sección 1.4.3, una de las razones para la existencia de sistemas distribuidos es la confiabilidad o tolerancia a fallos: si una máquina falla, el resto seguirá realizando todo el trabajo. Esto se debe a la naturaleza distribuida del sistema, donde los recursos y las capacidades de procesamiento están repartidos entre múltiples máquinas, permitiendo que el sistema como un todo siga funcionando incluso si algunos de sus componentes fallan."
"¿Qué método de paso de parámetros en llamadas al sistema es más adecuado cuando hay más parámetros que registros disponibles en el procesador?",1,"[""Paso de parámetros en registros"", ""Paso de parámetros en un bloque de memoria""]",1,"Según la sección 1.5.3, existen tres formas generales de pasar parámetros al sistema operativo durante una llamada al sistema: en registros, en un bloque de memoria, o en la pila. El paso en registros es el más sencillo, pero tiene la limitación de que puede haber más parámetros que registros disponibles. En ese caso, el paso de parámetros mediante un bloque de memoria (donde los parámetros se almacenan en memoria y se pasa la dirección del bloque en un registro) o mediante la pila serían opciones más adecuadas."
"En el contexto de la estructura de un sistema operativo, ¿qué ventaja principal ofrece un sistema con capas sobre un sistema monolítico?",1,"[""Mayor velocidad de ejecución al reducir las llamadas entre componentes"", ""Mayor facilidad para depurar y modificar componentes individuales sin afectar al resto del sistema""]",1,"Como se explica en la sección 1.6.2, la principal ventaja de la estructura por capas es la modularidad. Esto facilita la depuración y verificación del sistema (una vez implementada y verificada una capa, se asciende a la siguiente) y permite modificar una capa en cualquier momento sin tener que hacer cambios en otras, siempre que no se altere su interfaz. En cambio, en los sistemas monolíticos (sección 1.6.1) no existe ocultación, ya que todo procedimiento es visible a los demás, lo que dificulta la modificación y depuración de componentes individuales."
"¿Cuál es la principal limitación de los sistemas operativos por capas que ha llevado a que se prefieran sistemas con pocas capas pero más funcionalidad en cada una?",1,"[""El costo computacional de las llamadas entre capas reduce significativamente el rendimiento"", ""La dificultad para determinar dónde colocar ciertas funciones debido a dependencias entre capas""]",1,"Como se menciona en la sección 1.6.2, la mayor dificultad del enfoque por capas es el propio diseño de las mismas (número de capas, funciones de cada una, interfaz exportada, etc.), ya que cada capa solo puede utilizar los servicios de las capas inferiores. Esto hace que surjan problemas de dependencias entre capas y que, a veces, sea difícil saber dónde colocar una determinada función. Por esta razón, en la actualidad se opta por tener pocas capas, pero con más funcionalidad en cada una, lo que simplifica el diseño manteniendo cierto grado de modularidad."
"¿Qué problema fundamental de los sistemas operativos monolíticos intenta resolver el modelo cliente-servidor con micronúcleo?",1,"[""La falta de flexibilidad para adaptarse a diferentes arquitecturas hardware"", ""La vulnerabilidad del sistema completo ante fallos en cualquier componente""]",1,"Como se explica en la sección 1.6.3, una ventaja clave del modelo cliente-servidor con micronúcleo es que los servidores se ejecutan en modo usuario, lo que significa que un fallo en uno de ellos (por ejemplo, en el sistema de ficheros) no afectaría a todo el sistema. Incluso sería posible reiniciar el proceso servidor y hacer que el sistema se recupere de la caída. En contraste, en un sistema monolítico, donde todos los componentes forman parte del núcleo, un fallo en cualquier parte podría comprometer la estabilidad de todo el sistema operativo."
"¿Cuál fue la innovación más significativa de la tercera generación de sistemas operativos (1965-1980) que cambió fundamentalmente cómo los usuarios interactuaban con los computadores?",1,"[""La aparición de los sistemas operativos de tiempo compartido que devolvieron la interactividad a los usuarios"", ""La introducción de los sistemas de procesamiento por lotes que aumentaron la eficiencia""]",0,"Como se describe en la sección 1.3.3, en la primera generación los ordenadores eran sistemas interactivos pero con un coste muy elevado, lo que llevó a la adopción de técnicas como el procesamiento por lotes en la segunda generación para aumentar el rendimiento. Sin embargo, estas técnicas hicieron que el programador perdiera la interactividad. Con los sistemas de tiempo compartido de la tercera generación, los usuarios recuperaron de nuevo la interactividad a un coste razonable, lo que supuso un cambio fundamental en la forma en que los usuarios interactuaban con los computadores."
"En relación con la protección del sistema operativo, ¿por qué se necesita un mecanismo de protección de memoria?",1,"[""Para evitar que un programa acceda a zonas de memoria RAM que no le pertenecen, garantizando así la integridad del sistema operativo y otros programas"", ""Para gestionar eficientemente la memoria disponible y evitar desperdiciar espacio""]",0,"Como se explica en la sección 1.2, el hardware debe tener algún mecanismo que impida que un programa acceda a zonas de memoria RAM que no le pertenecen. De esta forma, se evita que un programa pueda leer o modificar el código, los datos o la pila de otros programas y, sobre todo, del sistema operativo. Si no se protegiera la RAM, un programa podría modificar el vector de interrupciones, las rutinas de servicio de interrupción del sistema operativo u otras partes del sistema operativo, y hacerse con el control de la máquina, comprometiendo su integridad."
"¿Qué característica fundamental distingue al sistema operativo como "controlador de recursos" frente a su visión como "máquina extendida"?",1,"[""Como controlador de recursos, el sistema operativo se enfoca en la gestión eficiente y segura de los recursos entre múltiples programas y usuarios"", ""Como controlador de recursos, el sistema operativo se centra en ocultar la complejidad del hardware a los programadores""]",0,"Según la sección 1.1 desde el punto de vista de "máquina extendida o virtual" el sistema operativo es un programa que oculta el funcionamiento del hardware al programador y presenta una interfaz sencilla y amigable. En cambio desde el punto de vista de "controlador de recursos" el sistema operativo es un programa que controla todas las piezas de un sistema complejo y proporciona una asignación ordenada y controlada de los recursos (procesadores memoria dispositivos de E/S etc.) entre los distintos programas que compiten por ellos. Por tanto la distinción fundamental está en el enfoque: facilitar la programación (máquina extendida) versus gestionar recursos compartidos (controlador de recursos)."
"En los sistemas operativos de tiempo real rigurosos, ¿qué ocurre si no se cumple una restricción temporal?",1,"[""El sistema realiza automáticamente un reinicio para recuperarse del error"", ""Se pueden producir situaciones críticas que pueden poner el sistema en peligro""]",1,"Como se indica en la sección 1.4.4, en los sistemas operativos de tiempo real rigurosos, una acción se debe realizar necesariamente en cierto momento o intervalo. De no cumplirse esta restricción, se pueden producir situaciones críticas que pueden poner el sistema en peligro. Esto contrasta con los sistemas de tiempo real no rigurosos, donde es aceptable no cumplir de vez en cuando un plazo, siempre y cuando el comportamiento general del sistema se ajuste a ciertos parámetros."
"¿Qué problema fundamental intentaba resolver el mecanismo de buffer en los sistemas de segunda generación?",1,"[""La falta de memoria principal para ejecutar programas grandes"", ""El desequilibrio entre la velocidad de la CPU y los dispositivos de E/S""]",1,"Como se explica en la sección 1.3.2, un buffer es una zona de memoria principal que se utiliza para el almacenamiento temporal de datos. Con los buffers, los datos no pasan directamente del dispositivo de E/S a la CPU o viceversa, sino a través de un buffer intermedio. Esto permite que mientras la CPU procesa los datos del buffer, el dispositivo de E/S pueda estar leyendo la siguiente porción de datos, logrando así que la E/S del programa se realice de forma simultánea con su cómputo. El objetivo principal es reducir el tiempo que la CPU pasa esperando a los dispositivos de E/S, que son mucho más lentos."
"¿Qué ventaja fundamental ofrece el modelo cliente-servidor en un sistema distribuido comparado con un sistema centralizado?",1,"[""Mayor rendimiento computacional al distribuir las tareas entre múltiples procesadores"", ""Transparencia en la comunicación, ya que un cliente se comunica con el servidor mediante mensajes independientemente de su ubicación física""]",1,"Como se describe en la sección 1.6.3, una ventaja del modelo cliente-servidor es su capacidad de adaptación a los sistemas distribuidos. Un cliente se comunica con el servidor por medio de mensajes, sin importar si ambos están en la misma o en diferentes máquinas; en lo que respecta al cliente, ocurre lo mismo en ambos casos: se envía una solicitud y se recibe una respuesta. Esta transparencia en la comunicación permite construir sistemas distribuidos que pueden aprovechar recursos en diferentes máquinas sin que los clientes tengan que preocuparse por la ubicación física de los servidores."
"¿Cuál es la diferencia clave entre los sistemas operativos de tarjetas inteligentes y los sistemas operativos de propósito general en términos de funcionalidad?",1,"[""Los sistemas de tarjetas inteligentes utilizan arquitecturas distribuidas mientras que los de propósito general son centralizados"", ""Los sistemas de tarjetas inteligentes solo pueden realizar unas pocas funciones debido a limitaciones de potencia y memoria""]",1,"Según la sección 1.4.5, los sistemas operativos para tarjetas inteligentes, debido a las propias características de estas tarjetas que tienen grandes limitaciones de potencia y memoria, solo son capaces de realizar unas pocas funciones. Habitualmente disponen de una máquina virtual de Java que se encarga de ejecutar los applets cargados en la tarjeta. Esto contrasta con los sistemas operativos de propósito general (sección 1.4.1), que están diseñados para realizar una gran variedad de tareas computacionales en entornos de diferente naturaleza, caracterizándose por su flexibilidad y capacidad de adaptación."
"En el contexto de la administración de ficheros ¿qué significa que el sistema operativo presente "una perspectiva lógica uniforme del almacenamiento de información"?",1,"[""Que todos los archivos deben tener el mismo tamaño para simplificar su gestión"", ""Que el sistema ofrece una abstracción (ficheros) que oculta las características específicas de los dispositivos de almacenamiento subyacentes""]",1,"Como se explica en la sección 1.5.1, el sistema operativo ofrece una perspectiva lógica uniforme del almacenamiento de información, abstrayendo las propiedades particulares de los dispositivos subyacentes. Para conseguir esto, define una unidad de almacenamiento lógico que es el fichero. Gracias a ello, es posible acceder (leer y escribir) cómodamente a la información existente en los dispositivos físicos a través de los ficheros definidos sobre ellos, sin necesidad de conocer las características específicas de cada dispositivo de almacenamiento."
"¿Qué problema fundamental resuelve el paso de parámetros a través de un bloque de memoria en las llamadas al sistema?",1,"[""Evita que los programas de usuario puedan acceder directamente a la memoria del sistema operativo"", ""Permite pasar una cantidad arbitraria de parámetros sin estar limitado por el número de registros disponibles""]",1,"Como se menciona en la sección 1.5.3, el paso de parámetros en registros es sencillo, pero tiene la limitación de que puede haber más parámetros que registros disponibles. El paso de parámetros en un bloque de memoria resuelve este problema al permitir almacenar los parámetros en un bloque en la memoria y pasar únicamente la dirección del bloque como parámetro en un registro. De esta forma, se puede pasar una cantidad arbitraria de parámetros independientemente del número de registros disponibles en el procesador."
"¿Por qué en los sistemas operativos modernos las llamadas al sistema suelen estar encapsuladas por funciones de bibliotecas de lenguajes de alto nivel?",1,"[""Porque las llamadas al sistema nativas no pueden acceder a ciertos recursos del hardware"", ""Para ocultar la complejidad de las llamadas al sistema y proporcionar una interfaz más sencilla a los programadores""]",1,"Como se explica en la sección 1.5.3, las bibliotecas de los lenguajes de alto nivel suelen contener procedimientos que ocultan las llamadas al sistema, proporcionando así una interfaz mucho más sencilla que la proporcionada por las llamadas al sistema en lenguaje ensamblador. Por ejemplo, printf es una función de C que construye una cadena según el formato y los parámetros que recibe, efectúa las llamadas al sistema necesarias para mostrar la cadena por pantalla, comprueba los posibles errores y devuelve el control al programa de usuario. De esta forma, se oculta la complejidad de las llamadas al sistema nativas."
"En un sistema operativo de quinta generación, ¿qué innovación tecnológica ha sido más determinante para su evolución?",1,"[""Los algoritmos de planificación de procesos más eficientes"", ""La explosión del uso de Internet y la proliferación de dispositivos móviles""]",1,"Según la sección 1.3.5, lo que caracteriza a la quinta generación (1995-actualidad) es la explosión del uso de Internet (y de sus servicios, como el cloud computing) y la proliferación de dispositivos móviles de todo tipo, especialmente los llamados teléfonos inteligentes o smartphones. Estas innovaciones tecnológicas han sido determinantes para la evolución de los sistemas operativos de esta generación, como Windows, Linux, Apple macOS, Android e iOS, que han tenido que adaptarse a nuevos paradigmas de conexión, movilidad y computación en la nube."
"¿Qué diferencia fundamental hay entre un sistema operativo monolítico y uno con estructura por capas en términos de organización del código?",1,"[""En el sistema monolítico no hay ocultación (todo procedimiento es visible a los demás), mientras que en el de capas cada capa oculta detalles a las capas superiores"", ""El sistema monolítico no permite la modularización del código mientras que el sistema por capas sí la permite""]",0,"Como se explica en las secciones 1.6.1 y 1.6.2, una diferencia fundamental entre ambos tipos de sistemas es que en los sistemas monolíticos no existe ocultación, ya que todo procedimiento es visible a los demás. En cambio, en los sistemas por capas, cada capa oculta los detalles de bajo nivel a las capas superiores, permitiendo modificar una capa en cualquier momento sin tener que hacer cambios en otras, siempre que no se altere su interfaz. Esta diferencia en la visibilidad y encapsulación del código es una característica clave que distingue ambos enfoques."
"¿Qué mecanismo de protección hardware permite que un programa de usuario solicite servicios al sistema operativo sin comprometer la seguridad?",1,"[""La memoria virtual"", ""Los modos de ejecución del procesador y las llamadas al sistema""]",1,"Como se explica en la sección 1.2, el procesador debe disponer de al menos dos modos de ejecución: modo núcleo y modo usuario. Los programas de usuario se ejecutan en modo usuario, donde no pueden ejecutar ciertas instrucciones privilegiadas como las de E/S. Para realizar estas operaciones, deben utilizar una instrucción especial conocida como llamada al sistema, que produce una acción similar a una interrupción y transfiere el control al sistema operativo en modo núcleo. Este mecanismo permite que los programas de usuario soliciten servicios al sistema operativo de forma segura, sin comprometer la integridad del sistema."
"¿Qué ventaja fundamental proporcionaron los circuitos integrados en la tercera generación de sistemas operativos (1965-1980)?",1,"[""Permitieron que los ordenadores fueran más pequeños y fiables, tendencia que continuaría en generaciones posteriores"", ""Aumentaron drásticamente la capacidad de almacenamiento secundario disponible para los sistemas""]",0,"Como se menciona en la sección 1.3.3, la aparición de los circuitos integrados en la tercera generación hizo que los ordenadores se volvieran más pequeños y fiables, una tendencia que seguiría también en las siguientes generaciones. Esta reducción de tamaño y aumento de fiabilidad fue fundamental para el desarrollo de sistemas más complejos como los de multiprogramación y tiempo compartido, característicos de esta generación."
"¿Por qué es necesario el mecanismo de independencia de dispositivo de E/S en un sistema operativo moderno?",1,"[""Para permitir que los programadores creen sus propios manejadores de dispositivos"", ""Para que los programas no tengan que preocuparse por las características específicas de cada dispositivo físico""]",1,"Como se explica en la sección 1.3.2, la independencia de dispositivo de E/S permite que los programas se escriban para usar dispositivos lógicos de E/S creados por el sistema operativo, siendo este el que hace corresponder los dispositivos lógicos con los físicos. Esto significa que los programas no necesitan conocer las características específicas de cada dispositivo físico, ya que el acceso a los dispositivos lógicos siempre se hace de la misma manera (mismas operaciones, mismas abstracciones de datos, etc.). Esta abstracción simplifica enormemente la programación de aplicaciones en sistemas operativos modernos."
"En el contexto de la administración de memoria, ¿cuál es una de las responsabilidades fundamentales del sistema operativo?",1,"[""Optimizar el espacio utilizado por cada programa compilando su código de manera más eficiente"", ""Llevar un control de qué zonas de memoria se están usando y qué procesos las usan""]",1,"Como se indica en la sección 1.5.1, algunas de las actividades relacionadas con la administración de memoria de las que el sistema operativo es responsable incluyen llevar un control de qué zonas de memoria se están usando y qué procesos las usan, decidir qué procesos se cargarán en memoria cuando haya suficiente espacio disponible, y asignar y recuperar el espacio de memoria según se requiera. La optimización del código durante la compilación es responsabilidad del compilador, no del sistema operativo."
"¿Cuál es la principal diferencia entre la función del intérprete de mandatos (shell) y las llamadas al sistema en un sistema operativo moderno?",1,"[""El intérprete de mandatos define la perspectiva del sistema para los usuarios no programadores, mientras que las llamadas al sistema definen la interfaz para los programadores"", ""El intérprete de mandatos solo puede ejecutar comandos predefinidos, mientras que las llamadas al sistema permiten crear nuevas funcionalidades""]",0,"Como se explica en las secciones 1.5.3 y 1.5.4, mientras que las llamadas al sistema definen la interfaz con el programador, la perspectiva del sistema operativo que tienen la mayoría de los usuarios es la definida por los programas del sistema, especialmente el intérprete de mandatos u órdenes (shell). Por tanto, el diseño de una interfaz útil y amigable con el usuario no programador depende de los programas del sistema que acompañan al sistema operativo, y no es una función directa de este."
"¿Qué cambio fundamental en la interacción usuario-máquina se produjo entre la primera y la segunda generación de sistemas operativos?",1,"[""En la primera generación el programador interactuaba directamente con la máquina, mientras que en la segunda se perdió esta interactividad en favor de la eficiencia"", ""En la primera generación los ordenadores solo podían realizar una tarea a la vez, mientras que en la segunda apareció la multitarea""]",0,"Como se describe en las secciones 1.3.1 y 1.3.2, en la primera generación existía una interacción directa entre el programador y la máquina: cada programador reservaba la máquina a una hora determinada y la tenía por completo a su disposición. En la segunda generación, para evitar pérdidas de tiempo por la falta de experiencia de los programadores en la preparación de la máquina, se contrataron operadores profesionales, lo que hizo que los programadores perdieran la interacción directa con la máquina, interacción que no recuperarían hasta la siguiente generación con los sistemas de tiempo compartido."
